Date;year;Precipretation
01-Jan;2024;0
02-Jan;2024;0
03-Jan;2024;0
04-Jan;2024;0
05-Jan;2024;6.358
06-Jan;2024;2.688
07-Jan;2024;9.213
08-Jan;2024;0
09-Jan;2024;17.376
10-Jan;2024;0
11-Jan;2024;30.173
12-Jan;2024;7.336
13-Jan;2024;3.708
14-Jan;2024;7.336
15-Jan;2024;0
16-Jan;2024;20.276
17-Jan;2024;0
18-Jan;2024;0.131
19-Jan;2024;0
20-Jan;2024;0
21-Jan;2024;0
22-Jan;2024;0
23-Jan;2024;0
24-Jan;2024;0
25-Jan;2024;14.942
26-Jan;2024;0
27-Jan;2024;8.538
28-Jan;2024;11.332
29-Jan;2024;16.501
30-Jan;2024;3.476
31-Jan;2024;0
01-Feb;2024;0
02-Feb;2024;0
03-Feb;2024;0
04-Feb;2024;0
05-Feb;2024;0
06-Feb;2024;0
07-Feb;2024;0
08-Feb;2024;0
09-Feb;2024;13.447
10-Feb;2024;4.152
11-Feb;2024;0
12-Feb;2024;0
13-Feb;2024;0
14-Feb;2024;0.808
15-Feb;2024;7.741
16-Feb;2024;0
17-Feb;2024;0
18-Feb;2024;12.511
19-Feb;2024;25.021
20-Feb;2024;4.917
21-Feb;2024;0
22-Feb;2024;4.208
23-Feb;2024;0
24-Feb;2024;0
25-Feb;2024;0
26-Feb;2024;0
27-Feb;2024;0
28-Feb;2024;0
Feb-29;2024;0
01-Mar;2024;0
02-Mar;2024;9.27
03-Mar;2024;0
04-Mar;2024;0
05-Mar;2024;0
06-Mar;2024;0
07-Mar;2024;5.067
08-Mar;2024;0
09-Mar;2024;0
10-Mar;2024;14.826
11-Mar;2024;0
12-Mar;2024;0
13-Mar;2024;0
14-Mar;2024;0
15-Mar;2024;0
16-Mar;2024;0
17-Mar;2024;4.453
18-Mar;2024;4.264
19-Mar;2024;4.264
20-Mar;2024;4.264
21-Mar;2024;9.716
22-Mar;2024;11.226
23-Mar;2024;0
24-Mar;2024;0
25-Mar;2024;0
26-Mar;2024;0
27-Mar;2024;0
28-Mar;2024;2.911
29-Mar;2024;0
30-Mar;2024;0
31-Mar;2024;0
01-Apr;2024;0
02-Apr;2024;0
03-Apr;2024;0
04-Apr;2024;0
05-Apr;2024;7.075
06-Apr;2024;2.085
07-Apr;2024;11.058
08-Apr;2024;21.721
09-Apr;2024;0
10-Apr;2024;0
11-Apr;2024;0
12-Apr;2024;0.23
13-Apr;2024;0
14-Apr;2024;0
15-Apr;2024;1.708
16-Apr;2024;0
17-Apr;2024;0
18-Apr;2024;0
19-Apr;2024;0
20-Apr;2024;0
21-Apr;2024;0
22-Apr;2024;0
23-Apr;2024;0
24-Apr;2024;0
25-Apr;2024;0
26-Apr;2024;0
27-Apr;2024;0
28-Apr;2024;0
29-Apr;2024;0
30-Apr;2024;0
01-May;2024;0
02-May;2024;0
03-May;2024;0
04-May;2024;0
05-May;2024;0
06-May;2024;0
07-May;2024;0
08-May;2024;0
09-May;2024;0
10-May;2024;0
11-May;2024;0
12-May;2024;0
13-May;2024;0.577
14-May;2024;2.418
15-May;2024;0
16-May;2024;0
17-May;2024;2.235
18-May;2024;0.181
19-May;2024;0
20-May;2024;0
21-May;2024;0
22-May;2024;0
23-May;2024;0
24-May;2024;0
25-May;2024;0
26-May;2024;0
27-May;2024;0
28-May;2024;0
29-May;2024;0
30-May;2024;0
31-May;2024;0
01-Jun;2024;0
02-Jun;2024;0
03-Jun;2024;0
04-Jun;2024;0
05-Jun;2024;0
06-Jun;2024;0
07-Jun;2024;0
08-Jun;2024;0
09-Jun;2024;0
10-Jun;2024;0
11-Jun;2024;0
12-Jun;2024;0
13-Jun;2024;0
14-Jun;2024;0
15-Jun;2024;2.619
16-Jun;2024;0
17-Jun;2024;0
18-Jun;2024;0
19-Jun;2024;0
20-Jun;2024;0
21-Jun;2024;0
22-Jun;2024;0
23-Jun;2024;0
24-Jun;2024;0
25-Jun;2024;0
26-Jun;2024;1.661
27-Jun;2024;0
28-Jun;2024;0
29-Jun;2024;0
30-Jun;2024;0
01-Jul;2024;0.707
02-Jul;2024;0
03-Jul;2024;0
04-Jul;2024;0
05-Jul;2024;0
06-Jul;2024;0
07-Jul;2024;0
08-Jul;2024;0
09-Jul;2024;0
10-Jul;2024;0
11-Jul;2024;0
12-Jul;2024;0
13-Jul;2024;0
14-Jul;2024;0
15-Jul;2024;0
16-Jul;2024;0
17-Jul;2024;0
18-Jul;2024;0
19-Jul;2024;0
20-Jul;2024;0.876
21-Jul;2024;0
22-Jul;2024;0
23-Jul;2024;0
24-Jul;2024;0
25-Jul;2024;0
26-Jul;2024;0
27-Jul;2024;0
28-Jul;2024;0
29-Jul;2024;0
30-Jul;2024;0
31-Jul;2024;0
01-Aug;2024;0
02-Aug;2024;0
03-Aug;2024;0
04-Aug;2024;0
05-Aug;2024;0
06-Aug;2024;0
07-Aug;2024;0
08-Aug;2024;0
09-Aug;2024;0
10-Aug;2024;0
11-Aug;2024;0
12-Aug;2024;0
13-Aug;2024;0
14-Aug;2024;0
15-Aug;2024;0
16-Aug;2024;0
17-Aug;2024;0
18-Aug;2024;0
19-Aug;2024;0
20-Aug;2024;0
21-Aug;2024;0
22-Aug;2024;0
23-Aug;2024;2.313
24-Aug;2024;0
25-Aug;2024;0
26-Aug;2024;0.003
27-Aug;2024;0
28-Aug;2024;0.002
29-Aug;2024;2.062
30-Aug;2024;0.637
31-Aug;2024;0.001
01-Sep;2024;0
02-Sep;2024;0
03-Sep;2024;0
04-Sep;2024;0
05-Sep;2024;0
06-Sep;2024;0
07-Sep;2024;0
08-Sep;2024;0
09-Sep;2024;0
10-Sep;2024;0
11-Sep;2024;1.315
12-Sep;2024;0.379
13-Sep;2024;0.638
14-Sep;2024;0
15-Sep;2024;0
16-Sep;2024;0
17-Sep;2024;0
18-Sep;2024;0
19-Sep;2024;0
20-Sep;2024;0
21-Sep;2024;0
22-Sep;2024;0
23-Sep;2024;0
24-Sep;2024;0
25-Sep;2024;0
26-Sep;2024;0.799
27-Sep;2024;0
28-Sep;2024;4.394
29-Sep;2024;0
30-Sep;2024;0
01-Oct;2024;0.922
02-Oct;2024;0
03-Oct;2024;0
04-Oct;2024;1.027
05-Oct;2024;0
06-Oct;2024;0
07-Oct;2024;0
08-Oct;2024;0
09-Oct;2024;1.131
10-Oct;2024;0
11-Oct;2024;0
12-Oct;2024;0
13-Oct;2024;0
14-Oct;2024;0
15-Oct;2024;7.504
16-Oct;2024;0
17-Oct;2024;0
18-Oct;2024;0
19-Oct;2024;0
20-Oct;2024;3.593
21-Oct;2024;8.471
22-Oct;2024;0
23-Oct;2024;0
24-Oct;2024;0
25-Oct;2024;0
26-Oct;2024;0
27-Oct;2024;0
28-Oct;2024;0
29-Oct;2024;0
30-Oct;2024;0
31-Oct;2024;0
01-Nov;2024;0
02-Nov;2024;0
03-Nov;2024;0
04-Nov;2024;0
05-Nov;2024;0
06-Nov;2024;0
07-Nov;2024;9.361
08-Nov;2024;11.009
09-Nov;2024;15.062
10-Nov;2024;4.713
11-Nov;2024;11.632
12-Nov;2024;0
13-Nov;2024;0
14-Nov;2024;0
15-Nov;2024;4.375
16-Nov;2024;4.41
17-Nov;2024;5.49
18-Nov;2024;0
19-Nov;2024;0
20-Nov;2024;0
21-Nov;2024;0
22-Nov;2024;4.895
23-Nov;2024;0
24-Nov;2024;3.274
25-Nov;2024;0.091
26-Nov;2024;0
27-Nov;2024;4.856
28-Nov;2024;0
29-Nov;2024;0
30-Nov;2024;0
01-Dec;2024;0
02-Dec;2024;0
03-Dec;2024;0
04-Dec;2024;0
05-Dec;2024;0
06-Dec;2024;0
07-Dec;2024;2.188
08-Dec;2024;2.028
09-Dec;2024;8.604
10-Dec;2024;6.654
11-Dec;2024;3.735
12-Dec;2024;0.482
13-Dec;2024;0
14-Dec;2024;7.504
15-Dec;2024;0
16-Dec;2024;0.175
17-Dec;2024;30.115
18-Dec;2024;27.761
19-Dec;2024;6.276
20-Dec;2024;3.811
21-Dec;2024;2.621
22-Dec;2024;0
23-Dec;2024;3.089
24-Dec;2024;6.09
25-Dec;2024;0
26-Dec;2024;0
27-Dec;2024;5.522
28-Dec;2024;7.013
29-Dec;2024;6.678
30-Dec;2024;0
